asset_id,surface,title,local_path,area_unidad,tema,anio,responsables,palabras_clave,visibilidad,identificador,public_url,vinculo_cruzado,dashboard_section,publication_status
dspace_memoria_metodologica_observatorio_360,dspace,Memoria Metodologica - Observatorio CCHEN 360,Docs/design/Memoria Metodológica - Observatorio CCHEN 360.pdf,Observatorio CCHEN,arquitectura metodologica,2026,Equipo Observatorio CCHEN,observatorio;metodologia;institucional,mixto,123456789/4,https://repo.cchen.cl/handle/123456789/4,https://observatorio.cchen.cl,Plataforma Institucional;Panel de Indicadores,published
dspace_propuesta_implementacion_observatorio,dspace,Propuesta de implementacion del Observatorio,Docs/design/Propuesta de implementación del Observatorio.pdf,Observatorio CCHEN,implementacion institucional,2026,Equipo Observatorio CCHEN,observatorio;implementacion;gobernanza,mixto,123456789/5,https://repo.cchen.cl/handle/123456789/5,https://observatorio.cchen.cl,Plataforma Institucional;Panel de Indicadores,published
dspace_documentacion_observatorio_cchen,dspace,Documentacion del Observatorio CCHEN,Docs/reports/observatorio_cchen_documentacion.pdf,Observatorio CCHEN,documentacion tecnica,2026,Equipo Observatorio CCHEN,observatorio;documentacion;stack,mixto,123456789/6,https://repo.cchen.cl/handle/123456789/6,https://observatorio.cchen.cl,Plataforma Institucional;Asistente I+D,published
dspace_dgin_piloto_resumen_2026_03_28,dspace,Resumen piloto DGIn Observatorio 3 en 1,Docs/reports/dgin_piloto_observatorio_3_en_1_resumen_2026-03-28.pdf,DGIn,piloto operativo dgin,2026,DGIn;Equipo Observatorio CCHEN,dgin;piloto;operacion semanal,mixto,123456789/3,https://repo.cchen.cl/handle/123456789/3,https://observatorio.cchen.cl,Plataforma Institucional;Convocatorias y Matching;Asistente I+D,published
ckan_convocatorias_curadas,ckan,Convocatorias curadas CCHEN,Data/Vigilancia/convocatorias_curadas.csv,DGIn,convocatorias y oportunidades,2026,DGIn;Equipo Observatorio CCHEN,convocatorias;vigilancia;financiamiento,publico,ckan_convocatorias_curadas,https://datos.cchen.cl/dataset/ckan_convocatorias_curadas,https://observatorio.cchen.cl,Plataforma Institucional;Convocatorias y Matching;Asistente I+D,published
ckan_convocatorias_matching_institucional,ckan,Matching institucional de convocatorias,Data/Vigilancia/convocatorias_matching_institucional.csv,DGIn,matching institucional,2026,DGIn;Equipo Observatorio CCHEN,matching;convocatorias;dgin,publico,ckan_convocatorias_matching_institucional,https://datos.cchen.cl/dataset/ckan_convocatorias_matching_institucional,https://observatorio.cchen.cl,Plataforma Institucional;Convocatorias y Matching;Asistente I+D,published
ckan_anid_repositorio_monto,ckan,Repositorio ANID con monto,Data/ANID/RepositorioAnid_con_monto.csv,DGIn,financiamiento anid,2026,DGIn;Equipo Observatorio CCHEN,anid;financiamiento;proyectos,publico,ckan_anid_repositorio_monto,https://datos.cchen.cl/dataset/ckan_anid_repositorio_monto,https://observatorio.cchen.cl,Plataforma Institucional;Panel de Indicadores;Asistente I+D,published
ckan_datacite_outputs,ckan,Outputs DataCite CCHEN,Data/ResearchOutputs/cchen_datacite_outputs.csv,Observatorio CCHEN,outputs de investigacion,2026,Equipo Observatorio CCHEN,datacite;research outputs;doi,publico,ckan_datacite_outputs,https://datos.cchen.cl/dataset/ckan_datacite_outputs,https://observatorio.cchen.cl,Plataforma Institucional;Panel de Indicadores;Asistente I+D,published
ckan_openaire_outputs,ckan,Outputs OpenAIRE CCHEN,Data/ResearchOutputs/cchen_openaire_outputs.csv,Observatorio CCHEN,outputs openaire,2026,Equipo Observatorio CCHEN,openaire;research outputs;orcid,publico,ckan_openaire_outputs,https://datos.cchen.cl/dataset/ckan_openaire_outputs,https://observatorio.cchen.cl,Plataforma Institucional;Panel de Indicadores;Asistente I+D,published
