source_key,source_name,query,status,cchen_filter_strategy,api_url,record_id,title,url,published,doi,snippet,fetched_at
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.1016/j.rinp.2025.108257,Fragile systems: A hidden-variable Bayesian framework leading to quantum theory,http://www.sciencedirect.com/science/article/pii/S2211379725001512,2025,10.1016/j.rinp.2025.108257,"{""identifier"": [{""id"": ""2211-3797"", ""type"": ""eissn""}, {""id"": ""10.1016/j.rinp.2025.108257"", ""type"": ""doi""}], ""journal"": {""volume"": ""73"", ""number"": """", ""country"": ""NL"", ""issns"": [""2211-3797""], ""publisher"": ""Elsevier"", ""language"": [""EN""], ""title"": ""Results in Physics""}, ""month"": ""06"", ""end_page"": """", ""keywords"": [""Quantum mechanics"", ""Fragility"", ""Bayesian""], ""year"": ""2025"", ""start_page"": ""108257"", ""subject"": [{""code"": ""QC1-999"", ""scheme"": ""LCC"", ""term"": ""Physics""}], ""author"": [{""affiliation"": ""Instituto de Filosofía y Ciencias de la Complejidad, Los Alerces 3024 Ñuñoa, Santiago, Chile; Correspon",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.3847/1538-4357/ae09ac,Cumulative Proton Right-handed Instabilities in the Young Solar Wind Observed by PSP,https://doi.org/10.3847/1538-4357/ae09ac,2025,10.3847/1538-4357/ae09ac,"{""identifier"": [{""id"": ""10.3847/1538-4357/ae09ac"", ""type"": ""doi""}, {""id"": ""1538-4357"", ""type"": ""eissn""}], ""journal"": {""volume"": ""993"", ""number"": ""1"", ""country"": ""GB"", ""issns"": [""1538-4357""], ""publisher"": ""IOP Publishing"", ""language"": [""EN""], ""title"": ""The Astrophysical Journal""}, ""keywords"": [""Solar wind"", ""Space plasmas""], ""year"": ""2025"", ""start_page"": ""1"", ""subject"": [{""code"": ""QB460-466"", ""scheme"": ""LCC"", ""term"": ""Astrophysics""}], ""author"": [{""orcid_id"": ""https://orcid.org/0000-0003-0465-598X"", ""affiliation"": ""Department of Physics and Materials Sciences, College of Arts and Sciences, Qatar",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.1063/5.0030158,A model for defect formation in materials exposed to radiation,http://dx.doi.org/10.1063/5.0030158,2021,10.1063/5.0030158,"{""identifier"": [{""id"": ""2468-080X"", ""type"": ""pissn""}, {""id"": ""10.1063/5.0030158"", ""type"": ""doi""}], ""journal"": {""volume"": ""6"", ""number"": ""1"", ""country"": ""US"", ""issns"": [""2468-2047"", ""2468-080X""], ""publisher"": ""AIP Publishing LLC"", ""language"": [""EN""], ""title"": ""Matter and Radiation at Extremes""}, ""month"": ""1"", ""end_page"": ""015902-9"", ""year"": ""2021"", ""start_page"": ""015902"", ""subject"": [{""code"": ""QC770-798"", ""scheme"": ""LCC"", ""term"": ""Nuclear and particle physics. Atomic energy. Radioactivity""}], ""author"": [{""affiliation"": ""Comisión Chilena de Energía Nuclear, Casilla 188-D, Santiago, Chile"", ""name",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.48162/rev.39.037,Germination and development of M1 seedlings of two Selliera radicans Cav. accessions subjected to gamma radiation,https://revistas.uncu.edu.ar/ojs/index.php/RFCA/article/view/4217,2021,10.48162/rev.39.037,"{""identifier"": [{""id"": ""10.48162/rev.39.037"", ""type"": ""doi""}, {""id"": ""0370-4661"", ""type"": ""pissn""}, {""id"": ""1853-8665"", ""type"": ""eissn""}], ""journal"": {""volume"": ""53"", ""number"": ""2"", ""country"": ""AR"", ""issns"": [""0370-4661"", ""1853-8665""], ""publisher"": ""Facultad de Ciencias Agrarias. Universidad Nacional de Cuyo"", ""language"": [""EN""], ""title"": ""Revista de la Facultad de Ciencias Agrarias""}, ""month"": ""December"", ""keywords"": [""marsh weed"", ""LD50"", ""seedling survival"", ""M1""], ""year"": ""2021"", ""subject"": [{""code"": ""S"", ""scheme"": ""LCC"", ""term"": ""Agriculture""}, {""code"": ""TP368-456"", ""scheme"": ""LCC"", ""term",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.3390/plasma4030033,Update on the Scientific Status of the Plasma Focus,https://www.mdpi.com/2571-6182/4/3/33,2021,10.3390/plasma4030033,"{""identifier"": [{""id"": ""10.3390/plasma4030033"", ""type"": ""doi""}, {""id"": ""2571-6182"", ""type"": ""eissn""}], ""journal"": {""volume"": ""4"", ""number"": ""3"", ""country"": ""CH"", ""issns"": [""2571-6182""], ""publisher"": ""MDPI AG"", ""language"": [""EN""], ""title"": ""Plasma""}, ""month"": ""09"", ""end_page"": ""669"", ""keywords"": [""plasma focus"", ""fusion energy"", ""neutron emission"", ""neutron spectrum"", ""beam–target mechanism"", ""ion acceleration""], ""year"": ""2021"", ""start_page"": ""450"", ""subject"": [{""code"": ""QC1-999"", ""scheme"": ""LCC"", ""term"": ""Physics""}, {""code"": ""QC717.6-718.8"", ""scheme"": ""LCC"", ""term"": ""Plasma physics. Ionized ga",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.1016/j.rchira.2016.06.003,¿Son reproducibles las mediciones dosimétricas a bajas dosis en cardiología intervencionista?,http://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-93082016000200007&lng=en&tlng=en,,10.1016/j.rchira.2016.06.003,"{""identifier"": [{""id"": ""0717-9308"", ""type"": ""pissn""}, {""id"": ""10.1016/j.rchira.2016.06.003"", ""type"": ""doi""}], ""journal"": {""volume"": ""22"", ""number"": ""2"", ""country"": ""ES"", ""issns"": [""0717-201X"", ""0717-9308""], ""publisher"": ""Permanyer"", ""language"": [""ES""], ""title"": ""Revista Chilena de Radiología""}, ""end_page"": ""75"", ""keywords"": [""reproducibilidad de resultados"", ""monitoreo de radiación"", ""dosímetros termoluminiscentes"", ""dosímetro luminiscente opticamente estimulado""], ""start_page"": ""70"", ""subject"": [{""code"": ""R895-920"", ""scheme"": ""LCC"", ""term"": ""Medical physics. Medical radiology. Nuclear medicin",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.3989/revmetalm.2006.v42.i5.31,Estudio estructural de polvos Cu-Cr aleados mecánicamente,http://revistademetalurgia.revistas.csic.es/index.php/revistademetalurgia/article/view/31,2006,10.3989/revmetalm.2006.v42.i5.31,"{""identifier"": [{""id"": ""0034-8570"", ""type"": ""pissn""}, {""id"": ""1988-4222"", ""type"": ""eissn""}, {""id"": ""10.3989/revmetalm.2006.v42.i5.31"", ""type"": ""doi""}], ""journal"": {""volume"": ""42"", ""number"": ""5"", ""country"": ""ES"", ""issns"": [""0034-8570"", ""1988-4222""], ""publisher"": ""Consejo Superior de Investigaciones Científicas"", ""language"": [""EN"", ""ES""], ""title"": ""Revista de Metalurgia""}, ""month"": ""10"", ""end_page"": ""344"", ""keywords"": [""aleado mecánico"", ""cu-cr"", ""tamaño grano"", ""drx"", ""fallas de apilamiento""], ""year"": ""2006"", ""start_page"": ""334"", ""subject"": [{""code"": ""TN1-997"", ""scheme"": ""LCC"", ""term"": ""Mining ",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.1051/epjconf/202328402005,Study of decay properties of Ba to Nd nuclei (A~160) relevant to the formation of the r-process rare-earth peak,https://www.epj-conferences.org/articles/epjconf/pdf/2023/10/epjconf_nd2023_02005.pdf,2023,10.1051/epjconf/202328402005,"{""identifier"": [{""id"": ""2100-014X"", ""type"": ""eissn""}, {""id"": ""10.1051/epjconf/202328402005"", ""type"": ""doi""}], ""journal"": {""volume"": ""284"", ""country"": ""FR"", ""issns"": [""2100-014X""], ""publisher"": ""EDP Sciences"", ""language"": [""EN""], ""title"": ""EPJ Web of Conferences""}, ""year"": ""2023"", ""start_page"": ""02005"", ""subject"": [{""code"": ""QC1-999"", ""scheme"": ""LCC"", ""term"": ""Physics""}], ""author"": [{""affiliation"": ""Institut de Tècniques Energètiques (INTE), Universitat Politècnica de Catalunya (UPC)"", ""name"": ""Pallàs M.""}, {""affiliation"": ""Instituto de Física Corpuscular (IFIC), CSIC-UV"", ""name"": ""Tarifeño-Sal",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.3847/1538-4357/ad500d,Magnetic Spectra Comparison for Kappa-distributed Whistler Electron Fluctuations,https://doi.org/10.3847/1538-4357/ad500d,2024,10.3847/1538-4357/ad500d,"{""identifier"": [{""id"": ""10.3847/1538-4357/ad500d"", ""type"": ""doi""}, {""id"": ""1538-4357"", ""type"": ""eissn""}], ""journal"": {""volume"": ""970"", ""number"": ""2"", ""country"": ""GB"", ""issns"": [""1538-4357""], ""publisher"": ""IOP Publishing"", ""language"": [""EN""], ""title"": ""The Astrophysical Journal""}, ""keywords"": [""Plasma astrophysics"", ""Space plasmas"", ""Solar wind"", ""Interplanetary turbulence""], ""year"": ""2024"", ""start_page"": ""132"", ""subject"": [{""code"": ""QB460-466"", ""scheme"": ""LCC"", ""term"": ""Astrophysics""}], ""author"": [{""orcid_id"": ""https://orcid.org/0009-0002-3994-8408"", ""affiliation"": ""Departamento de Física, Fac",2026-05-19
doaj,DOAJ,"""Comisión Chilena de Energía Nuclear""",cchen_match,texto libre con aliases institucionales CCHEN; se descartan resultados sin alias visible,https://doaj.org/api/v4/search/articles,10.3847/1538-4357/ad7465,Fully Kinetic Simulations of Proton-beam-driven Instabilities from Parker Solar Probe Observations,https://doi.org/10.3847/1538-4357/ad7465,2024,10.3847/1538-4357/ad7465,"{""identifier"": [{""id"": ""10.3847/1538-4357/ad7465"", ""type"": ""doi""}, {""id"": ""1538-4357"", ""type"": ""eissn""}], ""journal"": {""volume"": ""975"", ""number"": ""1"", ""country"": ""GB"", ""issns"": [""1538-4357""], ""publisher"": ""IOP Publishing"", ""language"": [""EN""], ""title"": ""The Astrophysical Journal""}, ""keywords"": [""Solar wind"", ""Space plasmas"", ""Plasma astrophysics""], ""year"": ""2024"", ""start_page"": ""37"", ""subject"": [{""code"": ""QB460-466"", ""scheme"": ""LCC"", ""term"": ""Astrophysics""}], ""author"": [{""orcid_id"": ""https://orcid.org/0000-0001-5079-7941"", ""affiliation"": ""Solar-Terrestrial Centre of Excellence–SIDC , Royal Obser",2026-05-19
